Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2020-05-27 10:28:03	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/UDPSendReceiveString/UDPSendReceiveString.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:07	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/TwitterClient/TwitterClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:11	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/WebClientRepeating/WebClientRepeating.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:15	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/UdpNtpClient/UdpNtpClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:20	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/WebClient/WebClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:24	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/ChatServer/ChatServer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:28	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/DhcpAddressPrinter/DhcpAddressPrinter.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:32	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/XivelyClient/XivelyClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:36	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/XivelyClientString/XivelyClientString.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:40	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/BarometricPressureWebServer/BarometricPressureWebServer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			3	false	0	0		0	
2020-05-27 10:28:44	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/DhcpChatServer/DhcpChatServer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:48	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/WebServer/WebServer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:52	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/TelnetClient/TelnetClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:28:56	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/PachubeClient/PachubeClient.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:29:01	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/PachubeClientString/PachubeClientString.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:29:05	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/Ethernet/examples/AdvancedChatServer/AdvancedChatServer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			1	false	0	0		0	
2020-05-27 10:29:08	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/AVR_examples/examples/Blink_using_Timer0/Blink_using_Timer0.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:11	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/AVR_examples/examples/Read_port_write_port/Read_port_write_port.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:14	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/AVR_examples/examples/Measure_period_length/Measure_period_length.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:17	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/AVR_examples/examples/Watch_dog_timer/Watch_dog_timer.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:20	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/AVR_examples/examples/Blink/Blink.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:23	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/Datalogger/Datalogger.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:27	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/CardInfo/CardInfo.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:31	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/ReadWrite/ReadWrite.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:35	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/listfiles/listfiles.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:39	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/DumpFile/DumpFile.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:43	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SD/examples/Files/Files.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
2020-05-27 10:29:46	155	155.8	https://travis-ci.org/MCUdude/MightyCore/jobs/691650553	push		false	master	d8a2f03331b41cb81401c4ab51b0d401ea52d2aa	f398bcfd1d43...d8a2f03331b4	Update Optiboot flash	/home/travis/Arduino/hardware/MightyCore/avr/libraries/SoftwareSerial/examples/SoftwareSerialExample/SoftwareSerialExample.ino	MightyCore:avr:644:pinout=standard,variant=modelP,BOD=2v7,LTO=Os,clock=16MHz_external	1.6.11			0	false	0	0		0	
